schema,group_id,scenario,method_id,solver_admissible,solver_reason,risk_score,guard_threshold,guard_accepted,exact_fallback,baseline_rmse_m,raw_rmse_m,deployed_rmse_m,raw_harmful,harmful_accepted,raw_improvement_fraction,deployed_improvement_fraction,coverage_90,predictive_width_rms_m,nominal_probability,identifiable_fraction,query_sensitivity_fraction,fixed_point_converged
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520820,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.006181235941782645,0.006181235941782645,0.006181235941782645,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520821,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.006102723876932564,0.006102723876932564,0.006102723876932564,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520822,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.00706136357321453,0.00706136357321453,0.00706136357321453,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520823,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.0030996312359180232,0.0030996312359180232,0.0030996312359180232,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520824,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.0035633836040291503,0.0035633836040291503,0.0035633836040291503,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520825,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.0042749463424532315,0.0042749463424532315,0.0042749463424532315,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520826,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.008328662380558656,0.008328662380558656,0.008328662380558656,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520827,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.005246726521101587,0.005246726521101587,0.005246726521101587,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520828,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.004605293288079465,0.004605293288079465,0.004605293288079465,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520829,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.004862837680346359,0.004862837680346359,0.004862837680346359,False,False,0.0,0.0,,,1.0,0.0,0.0,True
